name,symbol,decimals,address,icon,type
USD Coin,USDC,6,ceba9300f2b948710d2653dd7b07f33a8b32118c,usdc,erc20
Tether USD,USD₮,6,48065fbbe25f71c9282ddf5e1cd6d6a887483d5e,usdt,erc20
