name,symbol,decimals,address,icon,type
Wrapped Matic,WMATIC,18,0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,matic,erc20
USD Coin,USDC,6,3c499c542cef5e3811e1192ce70d8cc03d5c3359,usdc,erc20
Monerium EUR emoney,EURe,18,18ec0a6e18e5bc3784fdd3a3634b31245ab704f6,eure,erc20
Wrapped Ether,WETH,18,7ceb23fd6bc0add59e62ac25578270cff1b9f619,eth,erc20
(PoS) Tether USD,USD₮,6,c2132d05d31c914a87c6611c10748aeb04b58e8f,usdt,erc20
USD Coin (PoS),USDC,6,2791bca1f2de4661ed88a30c99a7a9449aa84174,usdc,erc20
(PoS) Wrapped BTC,WBTC,8,1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,wbtc,erc20
Rocket Pool ETH (PoS),rETH,18,0266f4f08d82372cf0fcbccc0ff74309089c74d1,reth,erc20
(PoS) Dai Stablecoin,DAI,18,8f3cf7ad23cd3cadbd9735aff958023239c6a063,dai,erc20
