name,symbol,decimals,address,icon,type
Wrapped Ether,WETH,18,c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,erc20
Dai Stablecoin,DAI,18,6b175474e89094c44da98b954eedeac495271d0f,dai,erc20
USD Coin,USDC,6,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,usdc,erc20
Euro Coin,EURC,6,1abaea1f7c830bd89acc67ec4af516284b1bc33c,eurc,erc20
Tether USD,USD₮,6,dac17f958d2ee523a2206206994597c13d831ec7,usdt,erc20
Tether CNH,CNH₮,6,6e109e9dd7fa1a58bc3eff667e8e41fc3cc07aef,usdt,erc20
TetherToken,MXN₮,6,ed03ed872159e199065401b6d0d487d78d9464aa,usdt,erc20
Euro Tether,EUR₮,6,c581b735a1688071a1746c968e0798d642ede491,usdt,erc20
Tether Gold,XAU₮,6,68749665ff8d2d112fa859aa293f07a622782f38,xaut,erc20
Wrapped BTC,WBTC,8,2260fac5e5542a773aa44fbcfedf7c193bc2c599,wbtc,erc20
Liquid staked Ether 2.0,stETH,18,ae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,erc20
Wrapped liquid staked Ether 2.0,wstETH,18,7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wsteth,erc20
Matic Token,MATIC,18,7d1afa7b718fb893db30a3abc0cfc608aacfebb0,matic,erc20
Arbitrum,ARB,18,b50721bcf8d664c30412cfbc6cf7a15145234ad1,arb,erc20
Rocket Pool ETH,rETH,18,ae78736cd615f374d3085123a210448e74fc6393,reth,erc20
Coinbase Wrapped Staked ETH,cbETH,18,be9895146f7af43049ca1c1ae358b0541ea49704,cbeth,erc20
Ankr Staked ETH,ankrETH,18,e95a203b1a91a908f9b9ce46459d101078c2c3cb,ankreth,erc20
Savings Dai,sDAI,18,83f20f44975d03b1b09e64809b757c47f942beea,sdai,erc20
Monerium EUR emoney,EURe,18,3231cb76718cdef2155fc47b5286d82e6eda273f,eure,erc20
Gho Token,GHO,18,40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,gho,erc20
Gnosis Token,GNO,18,6810e776880c02933d47db1b9fc05908e5386b96,gno,erc20
